batch_id,formula_id,site_id,operator_id,equipment_id,compounded_date,expiry_date,quantity_units,status
BATCH-0001,FORM-01,SITE-01,OP-02,EQ-02,2025-02-11,2025-12-15,118,Released
BATCH-0002,FORM-04,SITE-01,OP-02,EQ-01,2025-03-08,2025-09-07,57,Released
BATCH-0003,FORM-02,SITE-01,OP-01,EQ-02,2025-06-22,2026-05-23,100,Released
BATCH-0004,FORM-02,SITE-03,OP-05,EQ-05,2025-06-25,2025-10-12,107,Released
BATCH-0005,FORM-06,SITE-03,OP-05,EQ-05,2025-07-22,2025-10-25,34,Released
BATCH-0006,FORM-02,SITE-03,OP-05,EQ-05,2025-05-07,2025-12-02,107,Released
BATCH-0007,FORM-07,SITE-01,OP-02,EQ-02,2025-06-01,2026-04-21,168,Released
BATCH-0008,FORM-03,SITE-01,OP-01,EQ-02,2025-03-15,2026-02-16,153,Released
BATCH-0009,FORM-06,SITE-02,OP-03,EQ-03,2025-02-25,2025-10-26,87,Released
BATCH-0010,FORM-02,SITE-03,OP-05,EQ-05,2025-06-20,2026-01-07,166,Released
BATCH-0011,FORM-01,SITE-02,OP-04,EQ-03,2025-06-14,2025-11-04,105,Released
BATCH-0012,FORM-05,SITE-02,OP-04,EQ-03,2025-07-05,2026-01-08,95,Released
BATCH-0013,FORM-05,SITE-02,OP-04,EQ-03,2025-05-14,2025-11-16,22,Released
BATCH-0014,FORM-07,SITE-03,OP-05,EQ-05,2025-05-06,2026-05-06,152,Released
BATCH-0015,FORM-01,SITE-01,OP-02,EQ-01,2025-03-17,2025-06-29,36,Released
BATCH-0016,FORM-03,SITE-02,OP-03,EQ-03,2025-07-07,2026-02-09,103,Released
BATCH-0017,FORM-04,SITE-01,OP-01,EQ-02,2025-04-12,2025-12-12,147,Released
BATCH-0018,FORM-01,SITE-03,OP-05,EQ-05,2025-07-28,2026-06-16,42,Released
BATCH-0019,FORM-07,SITE-02,OP-04,EQ-04,2025-07-23,2026-02-13,130,Released
BATCH-0020,FORM-05,SITE-03,OP-05,EQ-05,2025-07-22,2026-06-29,65,Released
BATCH-0021,FORM-02,SITE-02,OP-03,EQ-04,2025-05-04,2026-02-27,74,Released
BATCH-0022,FORM-02,SITE-02,OP-03,EQ-04,2025-04-13,2025-12-27,88,Released
BATCH-0023,FORM-07,SITE-02,OP-04,EQ-03,2025-06-23,2026-02-05,56,Released
BATCH-0024,FORM-05,SITE-01,OP-02,EQ-02,2025-07-01,2026-05-21,122,Released
BATCH-0025,FORM-01,SITE-03,OP-05,EQ-05,2025-05-01,2025-09-16,110,Released
BATCH-0026,FORM-06,SITE-02,OP-03,EQ-04,2025-03-20,2025-06-23,199,Released
BATCH-0027,FORM-03,SITE-01,OP-02,EQ-02,2025-06-05,2026-05-08,29,Released
BATCH-0028,FORM-07,SITE-01,OP-01,EQ-02,2025-04-28,2025-08-05,151,Released
BATCH-0029,FORM-03,SITE-03,OP-05,EQ-05,2025-06-26,2025-12-29,44,Recalled
BATCH-0030,FORM-02,SITE-02,OP-03,EQ-04,2025-03-28,2025-09-21,41,Released
BATCH-0031,FORM-05,SITE-02,OP-03,EQ-03,2025-02-11,2025-09-27,67,Released
BATCH-0032,FORM-05,SITE-03,OP-05,EQ-05,2025-07-22,2026-04-12,101,Released
BATCH-0033,FORM-05,SITE-02,OP-04,EQ-04,2025-04-28,2025-12-02,145,Released
BATCH-0034,FORM-02,SITE-01,OP-02,EQ-02,2025-04-09,2026-03-03,90,Released
BATCH-0035,FORM-05,SITE-03,OP-05,EQ-05,2025-03-31,2025-07-26,185,Released
BATCH-0036,FORM-06,SITE-03,OP-05,EQ-05,2025-07-11,2025-11-24,101,Released
BATCH-0037,FORM-06,SITE-02,OP-04,EQ-03,2025-02-23,2025-08-21,153,Released
BATCH-0038,FORM-07,SITE-02,OP-03,EQ-03,2025-02-11,2026-01-04,129,Released
BATCH-0039,FORM-05,SITE-03,OP-05,EQ-05,2025-04-14,2026-03-20,193,Released
BATCH-0040,FORM-07,SITE-02,OP-04,EQ-04,2025-06-20,2025-12-23,161,Released
BATCH-0041,FORM-06,SITE-01,OP-01,EQ-01,2025-07-22,2025-11-20,96,Released
BATCH-0042,FORM-07,SITE-01,OP-01,EQ-02,2025-06-22,2026-03-21,63,Released
BATCH-0043,FORM-02,SITE-03,OP-05,EQ-05,2025-07-28,2026-01-12,159,Released
BATCH-0044,FORM-01,SITE-02,OP-03,EQ-04,2025-06-22,2025-11-06,103,Released
BATCH-0045,FORM-02,SITE-03,OP-05,EQ-05,2025-02-05,2025-06-04,170,Released
