batch_id,lot_id,ingredient_id
BATCH-0001,LOT-0001,ING-01
BATCH-0001,LOT-0003,ING-02
BATCH-0001,LOT-0016,ING-09
BATCH-0002,LOT-0009,ING-05
BATCH-0002,LOT-0010,ING-06
BATCH-0002,LOT-0018,ING-10
BATCH-0003,LOT-0005,ING-03
BATCH-0003,LOT-0016,ING-09
BATCH-0004,LOT-0006,ING-03
BATCH-0004,LOT-0016,ING-09
BATCH-0005,LOT-0014,ING-08
BATCH-0005,LOT-0020,ING-11
BATCH-0006,LOT-0006,ING-03
BATCH-0006,LOT-0016,ING-09
BATCH-0007,LOT-0009,ING-05
BATCH-0007,LOT-0021,ING-11
BATCH-0008,LOT-0007,ING-04
BATCH-0008,LOT-0018,ING-10
BATCH-0009,LOT-0014,ING-08
BATCH-0009,LOT-0021,ING-11
BATCH-0010,LOT-0006,ING-03
BATCH-0010,LOT-0016,ING-09
BATCH-0011,LOT-0001,ING-01
BATCH-0011,LOT-0002,ING-02
BATCH-0011,LOT-0016,ING-09
BATCH-0012,LOT-0011,ING-07
BATCH-0012,LOT-0023,ING-12
BATCH-0013,LOT-0013,ING-07
BATCH-0013,LOT-0024,ING-12
BATCH-0014,LOT-0009,ING-05
BATCH-0014,LOT-0021,ING-11
BATCH-0015,LOT-0001,ING-01
BATCH-0015,LOT-0002,ING-02
BATCH-0015,LOT-0016,ING-09
BATCH-0016,LOT-0007,ING-04
BATCH-0016,LOT-0017,ING-10
BATCH-0017,LOT-0009,ING-05
BATCH-0017,LOT-0010,ING-06
BATCH-0017,LOT-0018,ING-10
BATCH-0018,LOT-0001,ING-01
BATCH-0018,LOT-0002,ING-02
BATCH-0018,LOT-0015,ING-09
BATCH-0019,LOT-0009,ING-05
BATCH-0019,LOT-0020,ING-11
BATCH-0020,LOT-0012,ING-07
BATCH-0020,LOT-0023,ING-12
BATCH-0021,LOT-0006,ING-03
BATCH-0021,LOT-0016,ING-09
BATCH-0022,LOT-0004,ING-03
BATCH-0022,LOT-0016,ING-09
BATCH-0023,LOT-0009,ING-05
BATCH-0023,LOT-0020,ING-11
BATCH-0024,LOT-0013,ING-07
BATCH-0024,LOT-0023,ING-12
BATCH-0025,LOT-0001,ING-01
BATCH-0025,LOT-0002,ING-02
BATCH-0025,LOT-0016,ING-09
BATCH-0026,LOT-0014,ING-08
BATCH-0026,LOT-0021,ING-11
BATCH-0027,LOT-0008,ING-04
BATCH-0027,LOT-0017,ING-10
BATCH-0028,LOT-0009,ING-05
BATCH-0028,LOT-0020,ING-11
BATCH-0029,LOT-0043,ING-04
BATCH-0029,LOT-0017,ING-10
BATCH-0030,LOT-0006,ING-03
BATCH-0030,LOT-0016,ING-09
BATCH-0031,LOT-0012,ING-07
BATCH-0031,LOT-0022,ING-12
BATCH-0032,LOT-0012,ING-07
BATCH-0032,LOT-0023,ING-12
BATCH-0033,LOT-0011,ING-07
BATCH-0033,LOT-0024,ING-12
BATCH-0034,LOT-0004,ING-03
BATCH-0034,LOT-0016,ING-09
BATCH-0035,LOT-0012,ING-07
BATCH-0035,LOT-0022,ING-12
BATCH-0036,LOT-0014,ING-08
BATCH-0036,LOT-0020,ING-11
BATCH-0037,LOT-0014,ING-08
BATCH-0037,LOT-0021,ING-11
BATCH-0038,LOT-0009,ING-05
BATCH-0038,LOT-0019,ING-11
BATCH-0039,LOT-0011,ING-07
BATCH-0039,LOT-0024,ING-12
BATCH-0040,LOT-0009,ING-05
BATCH-0040,LOT-0021,ING-11
BATCH-0041,LOT-0014,ING-08
BATCH-0041,LOT-0020,ING-11
BATCH-0042,LOT-0009,ING-05
BATCH-0042,LOT-0020,ING-11
BATCH-0043,LOT-0005,ING-03
BATCH-0043,LOT-0016,ING-09
BATCH-0044,LOT-0001,ING-01
BATCH-0044,LOT-0003,ING-02
BATCH-0044,LOT-0015,ING-09
BATCH-0045,LOT-0004,ING-03
BATCH-0045,LOT-0016,ING-09
BATCH-0046,LOT-0009,ING-05
BATCH-0046,LOT-0019,ING-11
BATCH-0047,LOT-0014,ING-08
BATCH-0047,LOT-0019,ING-11
BATCH-0048,LOT-0006,ING-03
BATCH-0048,LOT-0015,ING-09
BATCH-0049,LOT-0014,ING-08
BATCH-0049,LOT-0019,ING-11
BATCH-0050,LOT-0043,ING-04
BATCH-0050,LOT-0018,ING-10
BATCH-0051,LOT-0009,ING-05
BATCH-0051,LOT-0010,ING-06
BATCH-0051,LOT-0018,ING-10
BATCH-0052,LOT-0009,ING-05
BATCH-0052,LOT-0010,ING-06
BATCH-0052,LOT-0018,ING-10
BATCH-0053,LOT-0009,ING-05
BATCH-0053,LOT-0010,ING-06
BATCH-0053,LOT-0018,ING-10
BATCH-0054,LOT-0009,ING-05
BATCH-0054,LOT-0021,ING-11
BATCH-0055,LOT-0001,ING-01
BATCH-0055,LOT-0002,ING-02
BATCH-0055,LOT-0015,ING-09
BATCH-0056,LOT-0006,ING-03
BATCH-0056,LOT-0016,ING-09
BATCH-0057,LOT-0001,ING-01
BATCH-0057,LOT-0003,ING-02
BATCH-0057,LOT-0015,ING-09
BATCH-0058,LOT-0014,ING-08
BATCH-0058,LOT-0020,ING-11
BATCH-0059,LOT-0009,ING-05
BATCH-0059,LOT-0010,ING-06
BATCH-0059,LOT-0018,ING-10
BATCH-0060,LOT-0001,ING-01
BATCH-0060,LOT-0002,ING-02
BATCH-0060,LOT-0016,ING-09
BATCH-0061,LOT-0009,ING-05
BATCH-0061,LOT-0021,ING-11
BATCH-0062,LOT-0006,ING-03
BATCH-0062,LOT-0015,ING-09
BATCH-0063,LOT-0009,ING-05
BATCH-0063,LOT-0010,ING-06
BATCH-0063,LOT-0017,ING-10
BATCH-0064,LOT-0009,ING-05
BATCH-0064,LOT-0019,ING-11
BATCH-0065,LOT-0014,ING-08
BATCH-0065,LOT-0021,ING-11
BATCH-0066,LOT-0009,ING-05
BATCH-0066,LOT-0020,ING-11
BATCH-0067,LOT-0005,ING-03
BATCH-0067,LOT-0015,ING-09
BATCH-0068,LOT-0043,ING-04
BATCH-0068,LOT-0018,ING-10
BATCH-0069,LOT-0011,ING-07
BATCH-0069,LOT-0023,ING-12
BATCH-0070,LOT-0011,ING-07
BATCH-0070,LOT-0024,ING-12
BATCH-0071,LOT-0012,ING-07
BATCH-0071,LOT-0022,ING-12
BATCH-0072,LOT-0043,ING-04
BATCH-0072,LOT-0018,ING-10
BATCH-0073,LOT-0009,ING-05
BATCH-0073,LOT-0010,ING-06
BATCH-0073,LOT-0018,ING-10
BATCH-0074,LOT-0013,ING-07
BATCH-0074,LOT-0023,ING-12
BATCH-0075,LOT-0001,ING-01
BATCH-0075,LOT-0002,ING-02
BATCH-0075,LOT-0015,ING-09
BATCH-0076,LOT-0014,ING-08
BATCH-0076,LOT-0021,ING-11
BATCH-0077,LOT-0014,ING-08
BATCH-0077,LOT-0019,ING-11
BATCH-0078,LOT-0043,ING-04
BATCH-0078,LOT-0017,ING-10
BATCH-0079,LOT-0011,ING-07
BATCH-0079,LOT-0023,ING-12
BATCH-0080,LOT-0009,ING-05
BATCH-0080,LOT-0010,ING-06
BATCH-0080,LOT-0018,ING-10
BATCH-0081,LOT-0001,ING-01
BATCH-0081,LOT-0002,ING-02
BATCH-0081,LOT-0016,ING-09
BATCH-0082,LOT-0009,ING-05
BATCH-0082,LOT-0019,ING-11
BATCH-0083,LOT-0011,ING-07
BATCH-0083,LOT-0022,ING-12
BATCH-0084,LOT-0043,ING-04
BATCH-0084,LOT-0017,ING-10
BATCH-0085,LOT-0009,ING-05
BATCH-0085,LOT-0010,ING-06
BATCH-0085,LOT-0018,ING-10
BATCH-0086,LOT-0006,ING-03
BATCH-0086,LOT-0015,ING-09
BATCH-0087,LOT-0009,ING-05
BATCH-0087,LOT-0010,ING-06
BATCH-0087,LOT-0018,ING-10
BATCH-0088,LOT-0001,ING-01
BATCH-0088,LOT-0002,ING-02
BATCH-0088,LOT-0016,ING-09
BATCH-0089,LOT-0004,ING-03
BATCH-0089,LOT-0016,ING-09
BATCH-0090,LOT-0009,ING-05
BATCH-0090,LOT-0010,ING-06
BATCH-0090,LOT-0017,ING-10
BATCH-0091,LOT-0001,ING-01
BATCH-0091,LOT-0002,ING-02
BATCH-0091,LOT-0015,ING-09
BATCH-0092,LOT-0009,ING-05
BATCH-0092,LOT-0019,ING-11
BATCH-0093,LOT-0009,ING-05
BATCH-0093,LOT-0010,ING-06
BATCH-0093,LOT-0018,ING-10
BATCH-0094,LOT-0009,ING-05
BATCH-0094,LOT-0010,ING-06
BATCH-0094,LOT-0018,ING-10
BATCH-0095,LOT-0009,ING-05
BATCH-0095,LOT-0010,ING-06
BATCH-0095,LOT-0017,ING-10
BATCH-0096,LOT-0004,ING-03
BATCH-0096,LOT-0015,ING-09
BATCH-0097,LOT-0009,ING-05
BATCH-0097,LOT-0020,ING-11
BATCH-0098,LOT-0009,ING-05
BATCH-0098,LOT-0021,ING-11
BATCH-0099,LOT-0043,ING-04
BATCH-0099,LOT-0018,ING-10
BATCH-0100,LOT-0014,ING-08
BATCH-0100,LOT-0020,ING-11
BATCH-0101,LOT-0001,ING-01
BATCH-0101,LOT-0002,ING-02
BATCH-0101,LOT-0016,ING-09
BATCH-0102,LOT-0014,ING-08
BATCH-0102,LOT-0020,ING-11
BATCH-0103,LOT-0009,ING-05
BATCH-0103,LOT-0010,ING-06
BATCH-0103,LOT-0018,ING-10
BATCH-0104,LOT-0009,ING-05
BATCH-0104,LOT-0021,ING-11
BATCH-0105,LOT-0009,ING-05
BATCH-0105,LOT-0020,ING-11
BATCH-0106,LOT-0007,ING-04
BATCH-0106,LOT-0017,ING-10
BATCH-0107,LOT-0006,ING-03
BATCH-0107,LOT-0015,ING-09
BATCH-0108,LOT-0004,ING-03
BATCH-0108,LOT-0015,ING-09
BATCH-0109,LOT-0009,ING-05
BATCH-0109,LOT-0020,ING-11
