timestamp,room_id,temperature_c,humidity_pct,particle_count_0_5um,diff_pressure_pa
2025-03-01T00:00:00,ROOM-01,20.49,42.4,152608,11.9
2025-03-01T01:00:00,ROOM-01,20.42,46.0,184481,13.1
2025-03-01T02:00:00,ROOM-01,20.49,42.4,136363,13.4
2025-03-01T03:00:00,ROOM-01,20.85,47.2,159240,13.2
2025-03-01T04:00:00,ROOM-01,21.4,42.6,144196,12.7
2025-03-01T05:00:00,ROOM-01,20.86,35.5,142966,14.9
2025-03-01T06:00:00,ROOM-01,20.01,50.7,98305,11.7
2025-03-01T07:00:00,ROOM-01,21.02,42.9,208054,12.0
2025-03-01T08:00:00,ROOM-01,20.41,46.2,161859,11.4
2025-03-01T09:00:00,ROOM-01,21.72,44.3,152508,12.9
2025-03-01T10:00:00,ROOM-01,21.04,48.1,125175,10.7
2025-03-01T11:00:00,ROOM-01,20.43,45.9,120405,9.4
2025-03-01T12:00:00,ROOM-01,20.22,45.5,52321,14.5
2025-03-01T13:00:00,ROOM-01,20.84,46.1,190283,14.0
2025-03-01T14:00:00,ROOM-01,21.51,51.0,119049,13.2
2025-03-01T15:00:00,ROOM-01,20.05,49.1,207840,11.3
2025-03-01T16:00:00,ROOM-01,19.94,40.8,98183,12.6
2025-03-01T17:00:00,ROOM-01,20.92,51.9,122535,11.8
2025-03-01T18:00:00,ROOM-01,21.54,40.8,165367,12.3
2025-03-01T19:00:00,ROOM-01,21.01,44.8,91590,10.4
2025-03-01T20:00:00,ROOM-01,21.17,42.0,127681,12.5
2025-03-01T21:00:00,ROOM-01,20.44,50.0,101391,11.5
2025-03-01T22:00:00,ROOM-01,21.51,51.9,138475,12.9
2025-03-01T23:00:00,ROOM-01,21.4,42.7,59664,10.3
2025-03-02T00:00:00,ROOM-01,21.39,45.9,148715,15.6
2025-03-02T01:00:00,ROOM-01,21.26,46.0,173031,10.3
2025-03-02T02:00:00,ROOM-01,20.42,46.3,141319,13.8
