lot_id,ingredient_id,supplier_id,received_date,expiry_date,qc_status,quantity_g
LOT-0001,ING-01,SUP-01,2025-01-16,2027-04-26,Released,380
LOT-0002,ING-02,SUP-04,2025-03-15,2026-09-17,Released,63
LOT-0003,ING-02,SUP-03,2025-04-23,2026-09-30,Released,230
LOT-0004,ING-03,SUP-05,2025-04-16,2026-11-23,Released,106
LOT-0005,ING-03,SUP-05,2025-04-06,2027-01-18,Released,334
LOT-0006,ING-03,SUP-05,2025-04-08,2026-11-13,Released,341
LOT-0007,ING-04,SUP-05,2025-02-08,2026-06-23,Released,101
LOT-0008,ING-04,SUP-03,2025-01-17,2027-04-08,Released,137
LOT-0009,ING-05,SUP-01,2025-04-12,2027-04-11,Released,419
LOT-0010,ING-06,SUP-01,2025-03-10,2027-01-25,Released,191
LOT-0011,ING-07,SUP-01,2025-02-11,2026-12-30,Released,132
LOT-0012,ING-07,SUP-03,2025-02-06,2026-04-11,Released,57
LOT-0013,ING-07,SUP-04,2025-04-25,2027-01-13,Released,262
LOT-0014,ING-08,SUP-01,2025-01-17,2026-09-14,Released,61
LOT-0015,ING-09,SUP-01,2025-01-17,2027-01-10,Released,211
LOT-0016,ING-09,SUP-04,2025-03-23,2026-04-30,Released,256
LOT-0017,ING-10,SUP-05,2025-02-01,2027-05-20,Released,268
LOT-0018,ING-10,SUP-01,2025-04-02,2027-04-20,Released,490
LOT-0019,ING-11,SUP-03,2025-02-23,2026-12-18,Released,468
LOT-0020,ING-11,SUP-03,2025-01-12,2027-04-04,Released,499
LOT-0021,ING-11,SUP-01,2025-02-10,2027-01-14,Released,198
LOT-0022,ING-12,SUP-01,2025-02-12,2027-04-14,Released,213
LOT-0023,ING-12,SUP-05,2025-04-30,2026-05-20,Released,327
LOT-0024,ING-12,SUP-03,2025-01-30,2026-03-28,Released,419
LOT-0025,ING-13,SUP-02,2025-03-25,2026-07-28,Released,110
LOT-0043,ING-04,SUP-05,2025-02-10,2026-08-10,Quarantined,120
