timestamp,batch_id,month,assay_percent,impurity_percent,storage_condition
2025-04-13T00:00:00,BATCH-0022,0,100.01,0.1,25C/60RH
2025-05-13T00:00:00,BATCH-0022,1,99.7,0.288,25C/60RH
2025-07-12T00:00:00,BATCH-0022,3,98.17,0.668,25C/60RH
2025-10-10T00:00:00,BATCH-0022,6,96.15,1.084,25C/60RH
2026-01-08T00:00:00,BATCH-0022,9,96.77,1.869,25C/60RH
2026-04-08T00:00:00,BATCH-0022,12,94.29,1.478,25C/60RH
2025-03-08T00:00:00,BATCH-0077,0,100.35,0.1,25C/60RH
2025-04-07T00:00:00,BATCH-0077,1,99.81,0.188,25C/60RH
2025-06-06T00:00:00,BATCH-0077,3,98.97,0.556,25C/60RH
2025-09-04T00:00:00,BATCH-0077,6,97.46,0.609,25C/60RH
2025-12-03T00:00:00,BATCH-0077,9,97.22,1.193,25C/60RH
2026-03-03T00:00:00,BATCH-0077,12,96.7,1.081,25C/60RH
2025-02-11T00:00:00,BATCH-0001,0,99.63,0.1,25C/60RH
2025-03-13T00:00:00,BATCH-0001,1,99.07,0.267,25C/60RH
2025-05-12T00:00:00,BATCH-0001,3,98.14,0.269,25C/60RH
2025-08-10T00:00:00,BATCH-0001,6,97.43,1.02,25C/60RH
2025-11-08T00:00:00,BATCH-0001,9,95.94,1.374,25C/60RH
2026-02-06T00:00:00,BATCH-0001,12,92.3,1.392,25C/60RH
2025-06-14T00:00:00,BATCH-0011,0,100.49,0.1,25C/60RH
2025-07-14T00:00:00,BATCH-0011,1,99.95,0.221,25C/60RH
2025-09-12T00:00:00,BATCH-0011,3,98.65,0.683,25C/60RH
2025-12-11T00:00:00,BATCH-0011,6,98.51,0.442,25C/60RH
2026-03-11T00:00:00,BATCH-0011,9,94.56,0.71,25C/60RH
2026-06-09T00:00:00,BATCH-0011,12,94.04,1.145,25C/60RH
2025-05-25T00:00:00,BATCH-0061,0,100.74,0.1,25C/60RH
2025-06-24T00:00:00,BATCH-0061,1,100.09,0.287,25C/60RH
2025-08-23T00:00:00,BATCH-0061,3,99.7,0.64,25C/60RH
2025-11-21T00:00:00,BATCH-0061,6,97.56,0.472,25C/60RH
2026-02-19T00:00:00,BATCH-0061,9,96.69,1.405,25C/60RH
2026-05-20T00:00:00,BATCH-0061,12,93.76,2.338,25C/60RH
2025-07-01T00:00:00,BATCH-0024,0,99.2,0.1,25C/60RH
2025-07-31T00:00:00,BATCH-0024,1,98.61,0.281,25C/60RH
2025-09-29T00:00:00,BATCH-0024,3,98.21,0.627,25C/60RH
2025-12-28T00:00:00,BATCH-0024,6,97.32,0.922,25C/60RH
2026-03-28T00:00:00,BATCH-0024,9,93.17,0.955,25C/60RH
2026-06-26T00:00:00,BATCH-0024,12,91.4,1.396,25C/60RH
2025-06-22T00:00:00,BATCH-0003,0,99.29,0.1,25C/60RH
2025-07-22T00:00:00,BATCH-0003,1,98.73,0.269,25C/60RH
2025-09-20T00:00:00,BATCH-0003,3,98.11,0.516,25C/60RH
2025-12-19T00:00:00,BATCH-0003,6,97.21,1.096,25C/60RH
2026-03-19T00:00:00,BATCH-0003,9,94.28,1.708,25C/60RH
2026-06-17T00:00:00,BATCH-0003,12,91.68,0.733,25C/60RH
2025-02-05T00:00:00,BATCH-0045,0,100.43,0.1,25C/60RH
2025-03-07T00:00:00,BATCH-0045,1,100.05,0.16,25C/60RH
2025-05-06T00:00:00,BATCH-0045,3,98.4,0.688,25C/60RH
2025-08-04T00:00:00,BATCH-0045,6,97.18,1.248,25C/60RH
2025-11-02T00:00:00,BATCH-0045,9,97.66,1.375,25C/60RH
2026-01-31T00:00:00,BATCH-0045,12,95.46,2.499,25C/60RH
2025-02-27T00:00:00,BATCH-0049,0,100.96,0.1,25C/60RH
2025-03-29T00:00:00,BATCH-0049,1,100.38,0.276,25C/60RH
2025-05-28T00:00:00,BATCH-0049,3,99.6,0.653,25C/60RH
2025-08-26T00:00:00,BATCH-0049,6,97.65,0.489,25C/60RH
2025-11-24T00:00:00,BATCH-0049,9,95.95,1.615,25C/60RH
2026-02-22T00:00:00,BATCH-0049,12,92.71,1.886,25C/60RH
2025-04-02T00:00:00,BATCH-0119,0,100.03,0.1,25C/60RH
2025-05-02T00:00:00,BATCH-0119,1,99.35,0.225,25C/60RH
2025-07-01T00:00:00,BATCH-0119,3,99.12,0.507,25C/60RH
2025-09-29T00:00:00,BATCH-0119,6,96.78,1.263,25C/60RH
2025-12-28T00:00:00,BATCH-0119,9,94.19,1.018,25C/60RH
2026-03-28T00:00:00,BATCH-0119,12,93.21,1.745,25C/60RH
2025-05-17T00:00:00,BATCH-0063,0,100.0,0.1,25C/60RH
2025-06-16T00:00:00,BATCH-0063,1,99.57,0.201,25C/60RH
2025-08-15T00:00:00,BATCH-0063,3,99.01,0.616,25C/60RH
2025-11-13T00:00:00,BATCH-0063,6,96.78,0.67,25C/60RH
2026-02-11T00:00:00,BATCH-0063,9,95.76,0.937,25C/60RH
2026-05-12T00:00:00,BATCH-0063,12,95.6,0.72,25C/60RH
2025-03-05T00:00:00,BATCH-0105,0,100.57,0.1,25C/60RH
2025-04-04T00:00:00,BATCH-0105,1,100.19,0.218,25C/60RH
2025-06-03T00:00:00,BATCH-0105,3,99.4,0.608,25C/60RH
2025-09-01T00:00:00,BATCH-0105,6,98.21,1.292,25C/60RH
2025-11-30T00:00:00,BATCH-0105,9,95.27,1.259,25C/60RH
2026-02-28T00:00:00,BATCH-0105,12,93.46,1.233,25C/60RH
